Category,Cell Name,Area,Urbanity,cell_acv_30,cell_acv_31,cell_acv_32,num_universe_30,num_universe_31,num_universe_32,store_30,store_31,store_32,panel_acv_30,panel_acv_31,panel_acv_32,optimal_panel,sales_30,sales_31,sales_32,diff,lost_outlets,new_outlets,common_outlets,acv_pf_30,acv_pf_31,acv_pf_32,sales_vol_30,sales_vol_31,sales_vol_32,weighted_change,sales_val_30,sales_val_31,sales_val_32,val_change,Local (Other than PTC-PMI)_30,Local (Other than PTC-PMI)_31,Local (Other than PTC-PMI)_32,Philip Morris Pak Ltd_30,Philip Morris Pak Ltd_31,Philip Morris Pak Ltd_32,Pakistan Tobacco Company_30,Pakistan Tobacco Company_31,Pakistan Tobacco Company_32,ITB_30,ITB_31,ITB_32
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Handler-Sml,MULTAN,Urban,120569.364400,120569.364400,120569.364400,530.136626,530.136626,530.136626,35,35,35,176309.882000,176309.882000,176309.881936,218,309930.000000,243778.000000,323655.000000,79877.000000,0,0,35,0.6838491582678275514925476497,0.6838491582678275514925476497,0.6838491585160629064741137199,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Non Handler-Ttl,RAHIM YAR KHAN,Urban,0.000000,0.000000,0.000000,1687.559524,1687.559524,1687.559524,567,567,565,2746477.501100,2746477.501100,2738084.586386,253,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0,0,0,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General-Medical Store-Handler-Ttl,RAHIM YAR KHAN,Urban,13253.091120,13253.091120,13253.091120,30.904762,30.904762,30.904762,567,567,565,2746477.501100,2746477.501100,2738084.586386,264,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.004825486869887688664161109082,0.004825486869887688664161109082,0.004840278195164439896768962053,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General-Medical Store-Non Handler-Ttl,RAHIM YAR KHAN,Urban,0.000000,0.000000,0.000000,142.055952,142.055952,142.055952,567,567,565,2746477.501100,2746477.501100,2738084.586386,264,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0,0,0,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiosk/Hawker-Handler-Lrg,RAHIM YAR KHAN,Urban,25935.110680,25935.110680,25935.110680,5.267085,5.267085,5.267085,567,567,565,2746477.501100,2746477.501100,2738084.586386,169,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.009443045016612242584083260525,0.009443045016612242584083260525,0.009471990313576021766830710904,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiosk/Hawker-Handler-Med,RAHIM YAR KHAN,Urban,35406.018470,35406.018470,35406.018470,17.237732,17.237732,17.237732,567,567,565,2746477.501100,2746477.501100,2738084.586386,103,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.01289142855014083625110530857,0.01289142855014083625110530857,0.01293094400590904740359219410,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiosk/Hawker-Handler-Sml,RAHIM YAR KHAN,Urban,60837.313350,60837.313350,60837.313350,90.079119,90.079119,90.079119,567,567,565,2746477.501100,2746477.501100,2738084.586386,252,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.02215103285049080644733485452,0.02215103285049080644733485452,0.02221893131150459371300051825,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiosk/Hawker-Non Handler-Ttl,RAHIM YAR KHAN,Urban,0.000000,0.000000,0.000000,215.626190,215.626190,215.626190,567,567,565,2746477.501100,2746477.501100,2738084.586386,209,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0,0,0,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiryana Store-Handler-Lrg,RAHIM YAR KHAN,Urban,203154.221400,203154.221400,203154.221400,39.988724,39.988724,39.988724,567,567,565,2746477.501100,2746477.501100,2738084.586386,261,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.07396900987487940066417171059,0.07396900987487940066417171059,0.07419574340767295895534406176,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiryana Store-Handler-Med,MULTAN,Urban,301653.253800,301653.253800,301653.253800,410.966859,410.966859,410.966859,53,53,52,270534.413600,270534.413600,265624.323922,43,309930.000000,243778.000000,323655.000000,79877.000000,1,0,52,1.115027289082752021460385475,1.115027289082752021460385475,1.135638669478853210067277387,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiryana Store-Handler-Sml,RAHIM YAR KHAN,Urban,189393.819700,189393.819700,189393.819700,821.147178,821.147178,821.147178,567,567,565,2746477.501100,2746477.501100,2738084.586386,79,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.06895880982973474539197636976,0.06895880982973474539197636976,0.06917018584512798110605214126,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiryana Store-Non Handler-Ttl,RAHIM YAR KHAN,Urban,0.000000,0.000000,0.000000,1575.790476,1575.790476,1575.790476,567,567,565,2746477.501100,2746477.501100,2738084.586386,120,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0,0,0,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Pan/Cigarette Shop-Handler-Lrg,RAHIM YAR KHAN,Urban,198257.372700,198257.372700,198257.372700,26.820577,26.820577,26.820577,567,567,565,2746477.501100,2746477.501100,2738084.586386,77,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.07218605381642316050356666801,0.07218605381642316050356666801,0.07240732214254931481980738358,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Pan/Cigarette Shop-Handler-Med,RAHIM YAR KHAN,Urban,181836.719700,181836.719700,181836.719700,63.786933,63.786933,63.786933,567,567,565,2746477.501100,2746477.501100,2738084.586386,158,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.06620724896787686268514322475,0.06620724896787686268514322475,0.06641019076039810348155779438,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Pan/Cigarette Shop-Handler-Sml,RAHIM YAR KHAN,Urban,301050.245200,301050.245200,301050.245200,361.582903,361.582903,361.582903,567,567,565,2746477.501100,2746477.501100,2738084.586386,179,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.1096132209637346225992719457,0.1096132209637346225992719457,0.1099492129267476194069175549,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Petro Mart-Total-Ttl,RAHIM YAR KHAN,Urban,3100.713000,3100.713000,3100.713000,30.357143,30.357143,30.357143,567,567,565,2746477.501100,2746477.501100,2738084.586386,163,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.001128978117883042577384541896,0.001128978117883042577384541896,0.001132438718444645834867705839,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-Roa-Canteen-Total-Ttl,RAHIM YAR KHAN,Urban,6399.740000,6399.740000,6399.740000,35.000000,35.000000,35.000000,567,567,565,2746477.501100,2746477.501100,2738084.586386,69,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.002330162907737937340279783441,0.002330162907737937340279783441,0.002337305440387077983430343849,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-Roa-Corner/Snack Shop-Handler-Ttl,RAHIM YAR KHAN,Urban,139593.109500,139593.109500,139593.109500,108.000000,108.000000,108.000000,567,567,565,2746477.501100,2746477.501100,2738084.586386,192,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.05082623449276068784760233549,0.05082623449276068784760233549,0.05098202962540651640942150378,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
